anchor,metric,system,adjusted_conversation_cds,listener_bt_log_strength,eligible_conversations
hsc_msc,signed_response_gap,grok,46.2039972394782,-0.469609122938555,72
hsc_behavior_sd,signed_response_gap,gemini,25.4538642790584,1.08531774590074,73
hsc_behavior_sd,signed_response_gap,openai,24.6774835475673,-0.154786069502578,77
hsc_behavior_sd,signed_response_gap,inworld,28.4755068089996,-0.460922553459604,75
hsc_behavior_sd,signed_response_gap,grok,31.3227938545849,-0.469609122938555,72
hsc_msc,floor_time_share,gemini,49.4948462850436,1.08531774590074,73
hsc_msc,floor_time_share,openai,49.451806747786,-0.154786069502578,77
hsc_msc,floor_time_share,inworld,49.5365561190567,-0.460922553459604,75
hsc_msc,floor_time_share,grok,49.5761167640202,-0.469609122938555,72
hsc_behavior_sd,floor_time_share,gemini,52.7738397607723,1.08531774590074,73
hsc_behavior_sd,floor_time_share,openai,53.0005456677588,-0.154786069502578,77
hsc_behavior_sd,floor_time_share,inworld,52.5521835709132,-0.460922553459604,75
hsc_behavior_sd,floor_time_share,grok,52.3237207086737,-0.469609122938555,72
hsc_msc,pace,gemini,47.4881517062341,1.08531774590074,73
hsc_msc,pace,openai,46.5604213968537,-0.154786069502578,76
hsc_msc,pace,inworld,46.6109636121941,-0.460922553459604,75
hsc_msc,pace,grok,47.0520988045165,-0.469609122938555,72
hsc_behavior_sd,pace,gemini,44.4121390813819,1.08531774590074,73
hsc_behavior_sd,pace,openai,41.08260519535,-0.154786069502578,76
hsc_behavior_sd,pace,inworld,39.2598558631949,-0.460922553459604,75
hsc_behavior_sd,pace,grok,41.7184639700137,-0.469609122938555,72
hsc_msc,rhythm,gemini,49.1919697377425,1.08531774590074,73
hsc_msc,rhythm,openai,49.6081801641156,-0.154786069502578,76
hsc_msc,rhythm,inworld,49.8339711536593,-0.460922553459604,75
hsc_msc,rhythm,grok,48.9330433953502,-0.469609122938555,72
hsc_behavior_sd,rhythm,gemini,48.1853810389299,1.08531774590074,73
hsc_behavior_sd,rhythm,openai,48.3707451178451,-0.154786069502578,76
hsc_behavior_sd,rhythm,inworld,48.551242924652,-0.460922553459604,75
hsc_behavior_sd,rhythm,grok,47.5365644411299,-0.469609122938555,72
hsc_msc,interaction,gemini,48.8503598183292,1.08531774590074,73
hsc_msc,interaction,openai,48.7955831808523,-0.154786069502578,76
hsc_msc,interaction,inworld,48.9191145994599,-0.460922553459604,75
hsc_msc,interaction,grok,48.7260854076756,-0.469609122938555,72
hsc_behavior_sd,interaction,gemini,43.2095873310815,1.08531774590074,73
hsc_behavior_sd,interaction,openai,41.9461132204254,-0.154786069502578,76
hsc_behavior_sd,interaction,inworld,45.4152669398676,-0.460922553459604,75
hsc_behavior_sd,interaction,grok,44.8207138975747,-0.469609122938555,72
hsc_msc,overall,gemini,48.5101604207687,1.08531774590074,73
hsc_msc,overall,openai,48.3213949139405,-0.154786069502578,76
hsc_msc,overall,inworld,48.4546831217711,-0.460922553459604,75
hsc_msc,overall,grok,48.2370758691807,-0.469609122938555,72
hsc_behavior_sd,overall,gemini,45.2690358171311,1.08531774590074,73
hsc_behavior_sd,overall,openai,43.7998211778735,-0.154786069502578,76
hsc_behavior_sd,overall,inworld,44.4087885759049,-0.460922553459604,75
hsc_behavior_sd,overall,grok,44.691914102906,-0.469609122938555,72
