anchor,metric,system_a,system_b,listener_favours,cds_favours,agrees,estimator,eligible_conversations
hsc_msc,sylber_npvi,openai,grok,openai,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_npvi,inworld,grok,inworld,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_npvi,gemini,openai,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_npvi,gemini,inworld,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_npvi,gemini,grok,gemini,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_npvi,openai,inworld,openai,openai,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_npvi,openai,grok,openai,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_npvi,inworld,grok,inworld,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_final_lengthening,gemini,openai,gemini,openai,0,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_final_lengthening,gemini,inworld,gemini,inworld,0,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_final_lengthening,gemini,grok,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_final_lengthening,openai,inworld,openai,inworld,0,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_final_lengthening,openai,grok,openai,openai,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_final_lengthening,inworld,grok,inworld,inworld,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_final_lengthening,gemini,openai,gemini,openai,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_final_lengthening,gemini,inworld,gemini,inworld,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_final_lengthening,gemini,grok,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_final_lengthening,openai,inworld,openai,inworld,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_final_lengthening,openai,grok,openai,openai,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_final_lengthening,inworld,grok,inworld,inworld,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,turn_duration,gemini,openai,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,297
hsc_msc,turn_duration,gemini,inworld,gemini,inworld,0,caller_scenario_adjusted_conversation_cds,297
hsc_msc,turn_duration,gemini,grok,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,297
hsc_msc,turn_duration,openai,inworld,openai,inworld,0,caller_scenario_adjusted_conversation_cds,297
hsc_msc,turn_duration,openai,grok,openai,grok,0,caller_scenario_adjusted_conversation_cds,297
hsc_msc,turn_duration,inworld,grok,inworld,inworld,1,caller_scenario_adjusted_conversation_cds,297
hsc_behavior_sd,turn_duration,gemini,openai,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,297
hsc_behavior_sd,turn_duration,gemini,inworld,gemini,inworld,0,caller_scenario_adjusted_conversation_cds,297
hsc_behavior_sd,turn_duration,gemini,grok,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,297
hsc_behavior_sd,turn_duration,openai,inworld,openai,inworld,0,caller_scenario_adjusted_conversation_cds,297
hsc_behavior_sd,turn_duration,openai,grok,openai,grok,0,caller_scenario_adjusted_conversation_cds,297
hsc_behavior_sd,turn_duration,inworld,grok,inworld,inworld,1,caller_scenario_adjusted_conversation_cds,297
hsc_msc,signed_response_gap,gemini,openai,gemini,openai,0,caller_scenario_adjusted_conversation_cds,297
hsc_msc,signed_response_gap,gemini,inworld,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,297
hsc_msc,signed_response_gap,gemini,grok,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,297
hsc_msc,signed_response_gap,openai,inworld,openai,openai,1,caller_scenario_adjusted_conversation_cds,297
hsc_msc,signed_response_gap,openai,grok,openai,openai,1,caller_scenario_adjusted_conversation_cds,297
hsc_msc,signed_response_gap,inworld,grok,inworld,inworld,1,caller_scenario_adjusted_conversation_cds,297
hsc_behavior_sd,signed_response_gap,gemini,openai,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,297
hsc_behavior_sd,signed_response_gap,gemini,inworld,gemini,inworld,0,caller_scenario_adjusted_conversation_cds,297
hsc_behavior_sd,signed_response_gap,gemini,grok,gemini,grok,0,caller_scenario_adjusted_conversation_cds,297
hsc_behavior_sd,signed_response_gap,openai,inworld,openai,inworld,0,caller_scenario_adjusted_conversation_cds,297
hsc_behavior_sd,signed_response_gap,openai,grok,openai,grok,0,caller_scenario_adjusted_conversation_cds,297
hsc_behavior_sd,signed_response_gap,inworld,grok,inworld,grok,0,caller_scenario_adjusted_conversation_cds,297
hsc_msc,floor_time_share,gemini,openai,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,297
hsc_msc,floor_time_share,gemini,inworld,gemini,inworld,0,caller_scenario_adjusted_conversation_cds,297
hsc_msc,floor_time_share,gemini,grok,gemini,grok,0,caller_scenario_adjusted_conversation_cds,297
hsc_msc,floor_time_share,openai,inworld,openai,inworld,0,caller_scenario_adjusted_conversation_cds,297
hsc_msc,floor_time_share,openai,grok,openai,grok,0,caller_scenario_adjusted_conversation_cds,297
hsc_msc,floor_time_share,inworld,grok,inworld,grok,0,caller_scenario_adjusted_conversation_cds,297
hsc_behavior_sd,floor_time_share,gemini,openai,gemini,openai,0,caller_scenario_adjusted_conversation_cds,297
hsc_behavior_sd,floor_time_share,gemini,inworld,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,297
hsc_behavior_sd,floor_time_share,gemini,grok,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,297
hsc_behavior_sd,floor_time_share,openai,inworld,openai,openai,1,caller_scenario_adjusted_conversation_cds,297
hsc_behavior_sd,floor_time_share,openai,grok,openai,openai,1,caller_scenario_adjusted_conversation_cds,297
hsc_behavior_sd,floor_time_share,inworld,grok,inworld,inworld,1,caller_scenario_adjusted_conversation_cds,297
hsc_msc,pace,gemini,openai,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,pace,gemini,inworld,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,pace,gemini,grok,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,pace,openai,inworld,openai,inworld,0,caller_scenario_adjusted_conversation_cds,296
hsc_msc,pace,openai,grok,openai,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_msc,pace,inworld,grok,inworld,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,pace,gemini,openai,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,pace,gemini,inworld,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,pace,gemini,grok,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,pace,openai,inworld,openai,openai,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,pace,openai,grok,openai,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,pace,inworld,grok,inworld,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_msc,rhythm,gemini,openai,gemini,openai,0,caller_scenario_adjusted_conversation_cds,296
hsc_msc,rhythm,gemini,inworld,gemini,inworld,0,caller_scenario_adjusted_conversation_cds,296
hsc_msc,rhythm,gemini,grok,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,rhythm,openai,inworld,openai,inworld,0,caller_scenario_adjusted_conversation_cds,296
hsc_msc,rhythm,openai,grok,openai,openai,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,rhythm,inworld,grok,inworld,inworld,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,rhythm,gemini,openai,gemini,openai,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,rhythm,gemini,inworld,gemini,inworld,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,rhythm,gemini,grok,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,rhythm,openai,inworld,openai,inworld,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,rhythm,openai,grok,openai,openai,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,rhythm,inworld,grok,inworld,inworld,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,interaction,gemini,openai,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,interaction,gemini,inworld,gemini,inworld,0,caller_scenario_adjusted_conversation_cds,296
hsc_msc,interaction,gemini,grok,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,interaction,openai,inworld,openai,inworld,0,caller_scenario_adjusted_conversation_cds,296
hsc_msc,interaction,openai,grok,openai,openai,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,interaction,inworld,grok,inworld,inworld,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,interaction,gemini,openai,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,interaction,gemini,inworld,gemini,inworld,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,interaction,gemini,grok,gemini,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,interaction,openai,inworld,openai,inworld,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,interaction,openai,grok,openai,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,interaction,inworld,grok,inworld,inworld,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,overall,gemini,openai,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,overall,gemini,inworld,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,overall,gemini,grok,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,overall,openai,inworld,openai,inworld,0,caller_scenario_adjusted_conversation_cds,296
hsc_msc,overall,openai,grok,openai,openai,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,overall,inworld,grok,inworld,inworld,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,overall,gemini,openai,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,overall,gemini,inworld,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,overall,gemini,grok,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,overall,openai,inworld,openai,inworld,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,overall,openai,grok,openai,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,overall,inworld,grok,inworld,grok,0,caller_scenario_adjusted_conversation_cds,296
