measurement_family,feature,system,rated_conversations,score_mean,score_sample_sd,bt_log_strength_mean,bt_log_strength_sample_sd
cds,Floor-time share,Gemini,64,49.5419788196,0.318872023693,0.4518096496,0.786871986229
cds,Floor-time share,OpenAI,69,49.4804301465,0.310820881109,-0.580612627889,0.717636606326
cds,Floor-time share,Inworld,64,49.5875371339,0.300276500214,-0.803148382653,0.826984089251
cds,Floor-time share,Grok,63,49.6608961139,0.301854685574,-0.994691308369,0.783075300045
ttsds2,Hubert,Human,70,83.7955571829,1.22179678951,1.78876432381,0.625039229824
ttsds2,Hubert,Gemini,64,83.7140167689,2.23438296168,0.4518096496,0.786871986229
ttsds2,Hubert,OpenAI,68,86.5397747874,1.20122672418,-0.573503736252,0.720520539502
ttsds2,Hubert,Inworld,64,82.6607347055,0.913047455068,-0.803148382653,0.826984089251
ttsds2,Hubert,Grok,63,83.8663288973,0.814000605952,-0.994691308369,0.783075300045
ttsds2,Wav2Vec2,Human,70,85.1105274783,1.05269044629,1.78876432381,0.625039229824
ttsds2,Wav2Vec2,Gemini,64,83.6388543227,1.74010324345,0.4518096496,0.786871986229
ttsds2,Wav2Vec2,OpenAI,68,84.9559049322,1.37470533493,-0.573503736252,0.720520539502
ttsds2,Wav2Vec2,Inworld,64,81.3409533544,0.940905015647,-0.803148382653,0.826984089251
ttsds2,Wav2Vec2,Grok,63,82.2883460567,0.669753929182,-0.994691308369,0.783075300045
ttsds2,WavLM,Human,70,88.3879798929,0.759315430473,1.78876432381,0.625039229824
ttsds2,WavLM,Gemini,64,86.9562256943,1.97673483868,0.4518096496,0.786871986229
ttsds2,WavLM,OpenAI,68,89.2983563282,1.05106066422,-0.573503736252,0.720520539502
ttsds2,WavLM,Inworld,64,86.6460233355,0.865679257083,-0.803148382653,0.826984089251
ttsds2,WavLM,Grok,63,87.6052086812,0.581879431737,-0.994691308369,0.783075300045
ttsds2,Wav2Vec2 Activations,Human,70,91.8523677199,1.29179137048,1.78876432381,0.625039229824
ttsds2,Wav2Vec2 Activations,Gemini,64,86.0780094779,2.89244620155,0.4518096496,0.786871986229
ttsds2,Wav2Vec2 Activations,OpenAI,68,84.4897178088,1.29058690239,-0.573503736252,0.720520539502
ttsds2,Wav2Vec2 Activations,Inworld,64,80.9586046209,1.81867789406,-0.803148382653,0.826984089251
ttsds2,Wav2Vec2 Activations,Grok,63,82.3256129133,1.62554829913,-0.994691308369,0.783075300045
ttsds2,Whisper Activations,Human,70,62.3264689256,4.83665709228,1.78876432381,0.625039229824
ttsds2,Whisper Activations,Gemini,64,61.6319000452,3.33892597893,0.4518096496,0.786871986229
ttsds2,Whisper Activations,OpenAI,68,60.969336724,2.78413985523,-0.573503736252,0.720520539502
ttsds2,Whisper Activations,Inworld,64,61.8880810771,3.12692437163,-0.803148382653,0.826984089251
ttsds2,Whisper Activations,Grok,63,59.6119139912,2.32437227696,-0.994691308369,0.783075300045
ttsds2,Allosaurus SR,Human,70,78.3013694691,7.33133190761,1.78876432381,0.625039229824
ttsds2,Allosaurus SR,Gemini,64,82.1884853119,2.1655189849,0.4518096496,0.786871986229
ttsds2,Allosaurus SR,OpenAI,68,87.5370165591,2.18543957531,-0.573503736252,0.720520539502
ttsds2,Allosaurus SR,Inworld,64,89.0650426762,2.6504593731,-0.803148382653,0.826984089251
ttsds2,Allosaurus SR,Grok,63,84.4136505183,1.35953074323,-0.994691308369,0.783075300045
ttsds2,Hubert Token SR,Human,70,77.4050000162,8.50701229311,1.78876432381,0.625039229824
ttsds2,Hubert Token SR,Gemini,64,64.9954452462,10.6773693936,0.4518096496,0.786871986229
ttsds2,Hubert Token SR,OpenAI,68,76.4240064896,4.72473847761,-0.573503736252,0.720520539502
ttsds2,Hubert Token SR,Inworld,64,80.3373559444,4.96463274301,-0.803148382653,0.826984089251
ttsds2,Hubert Token SR,Grok,63,76.9912411032,2.83372976568,-0.994691308369,0.783075300045
ttsds2,MPM,Human,70,87.1459952856,3.50751976855,1.78876432381,0.625039229824
ttsds2,MPM,Gemini,64,91.3955002835,2.91447569195,0.4518096496,0.786871986229
ttsds2,MPM,OpenAI,68,93.6368988235,2.26409452,-0.573503736252,0.720520539502
ttsds2,MPM,Inworld,64,86.4202891002,3.62889447252,-0.803148382653,0.826984089251
ttsds2,MPM,Grok,63,93.4651881493,3.00878129759,-0.994691308369,0.783075300045
ttsds2,Pitch,Human,70,43.85266403,20.6442910399,1.78876432381,0.625039229824
ttsds2,Pitch,Gemini,64,50.65868087,15.7045891037,0.4518096496,0.786871986229
ttsds2,Pitch,OpenAI,68,61.9534733966,11.0106390778,-0.573503736252,0.720520539502
ttsds2,Pitch,Inworld,64,33.888639061,24.1222092594,-0.803148382653,0.826984089251
ttsds2,Pitch,Grok,63,62.0357963432,14.1368316801,-0.994691308369,0.783075300045
ttsds2,DVector,Human,70,67.2177968703,3.71985855171,1.78876432381,0.625039229824
ttsds2,DVector,Gemini,64,67.2999385218,1.71421805324,0.4518096496,0.786871986229
ttsds2,DVector,OpenAI,68,64.8371566768,2.03889746139,-0.573503736252,0.720520539502
ttsds2,DVector,Inworld,64,62.2900573353,3.47351238915,-0.803148382653,0.826984089251
ttsds2,DVector,Grok,63,60.3933566839,3.05938770824,-0.994691308369,0.783075300045
ttsds2,WeSpeaker,Human,70,52.3960764648,1.99527890011,1.78876432381,0.625039229824
ttsds2,WeSpeaker,Gemini,64,56.5778765809,2.68299813367,0.4518096496,0.786871986229
ttsds2,WeSpeaker,OpenAI,68,56.0463288904,1.0539827539,-0.573503736252,0.720520539502
ttsds2,WeSpeaker,Inworld,64,54.0687475373,0.897776948043,-0.803148382653,0.826984089251
ttsds2,WeSpeaker,Grok,63,53.8734801807,1.78314647229,-0.994691308369,0.783075300045
ttsds2,Overall TTSDS2,Human,70,73.5843250938,2.01579664517,1.78876432381,0.625039229824
ttsds2,Overall TTSDS2,Gemini,64,73.2182722924,2.14141814471,0.4518096496,0.786871986229
ttsds2,Overall TTSDS2,OpenAI,68,74.9976160541,1.60847010773,-0.573503736252,0.720520539502
ttsds2,Overall TTSDS2,Inworld,64,71.3949535281,2.029451112,-0.803148382653,0.826984089251
ttsds2,Overall TTSDS2,Grok,63,72.9788196979,1.70941376477,-0.994691308369,0.783075300045
