collection_number,collection,view,png,pdf,description
5,Agreement on system pairs,Behavioural CDS: HSC–Behaviour-SD,assets/behavior/behavior-agreement-hsc_behavior_sd.png,assets/behavior/behavior-agreement-hsc_behavior_sd.pdf,Yes means the same system ranks higher in both the metric and listener fit.
5,Agreement on system pairs,TTSDS2 · adjusted conversation scores,assets/baselines/ttsds2_system_pair_agreement.png,assets/baselines/ttsds2_system_pair_agreement.pdf,Each cell compares the winner from adjusted conversation scores with the winner from the listener system BT fit. Four systems yield six comparisons.
5,Agreement on system pairs,Linguistic CDS · HSC–MSC,assets/baselines/linguistic_system_pair_agreement_hsc_msc.png,assets/baselines/linguistic_system_pair_agreement_hsc_msc.pdf,Each cell compares the winner from adjusted conversation scores with the winner from the listener system BT fit. Four systems yield six comparisons.
5,Agreement on system pairs,Linguistic CDS · HSC–Behaviour-SD,assets/baselines/linguistic_system_pair_agreement_hsc_behavior_sd.png,assets/baselines/linguistic_system_pair_agreement_hsc_behavior_sd.pdf,Each cell compares the winner from adjusted conversation scores with the winner from the listener system BT fit. Four systems yield six comparisons.
6,Conversation clouds for all features,CDS: Phone rate,assets/baselines/cloud_cds_allosaurus_rate.png,assets/baselines/cloud_cds_allosaurus_rate.pdf,259 AI-partner conversations and 70 human-partner controls. Partner measurements only. Scores averaged across 50 HSC reference splits.
6,Conversation clouds for all features,CDS: Sylber rate,assets/baselines/cloud_cds_sylber_rate.png,assets/baselines/cloud_cds_sylber_rate.pdf,259 AI-partner conversations and 70 human-partner controls. Partner measurements only. Scores averaged across 50 HSC reference splits.
6,Conversation clouds for all features,CDS: Sylber unit duration,assets/baselines/cloud_cds_sylber_duration.png,assets/baselines/cloud_cds_sylber_duration.pdf,259 AI-partner conversations and 70 human-partner controls. Partner measurements only. Scores averaged across 50 HSC reference splits.
6,Conversation clouds for all features,CDS: nPVI,assets/baselines/cloud_cds_sylber_npvi.png,assets/baselines/cloud_cds_sylber_npvi.pdf,259 AI-partner conversations and 70 human-partner controls. Partner measurements only. Scores averaged across 50 HSC reference splits.
6,Conversation clouds for all features,CDS: Turn-final lengthening,assets/baselines/cloud_cds_sylber_final_lengthening.png,assets/baselines/cloud_cds_sylber_final_lengthening.pdf,259 AI-partner conversations and 70 human-partner controls. Partner measurements only. Scores averaged across 50 HSC reference splits.
6,Conversation clouds for all features,CDS: Turn duration,assets/baselines/cloud_cds_turn_duration.png,assets/baselines/cloud_cds_turn_duration.pdf,260 AI-partner conversations and 70 human-partner controls. Partner measurements only. Scores averaged across 50 HSC reference splits.
6,Conversation clouds for all features,CDS: Signed response gap,assets/baselines/cloud_cds_signed_response_gap.png,assets/baselines/cloud_cds_signed_response_gap.pdf,260 AI-partner conversations and 70 human-partner controls. Partner measurements only. Scores averaged across 50 HSC reference splits.
6,Conversation clouds for all features,CDS: Floor-time share,assets/baselines/cloud_cds_floor_time_share.png,assets/baselines/cloud_cds_floor_time_share.pdf,260 AI-partner conversations and 70 human-partner controls. Partner measurements only. Scores averaged across 50 HSC reference splits.
6,Conversation clouds for all features,TTSDS2: Hubert,assets/baselines/cloud_ttsds2_hubert.png,assets/baselines/cloud_ttsds2_hubert.pdf,259 AI-partner conversations and 70 human-partner controls. Partner measurements only. Historical reference: 100 turns from one HSC conversation; closest-noise calibration.
6,Conversation clouds for all features,TTSDS2: Wav2Vec2,assets/baselines/cloud_ttsds2_wav2vec2.png,assets/baselines/cloud_ttsds2_wav2vec2.pdf,259 AI-partner conversations and 70 human-partner controls. Partner measurements only. Historical reference: 100 turns from one HSC conversation; closest-noise calibration.
6,Conversation clouds for all features,TTSDS2: WavLM,assets/baselines/cloud_ttsds2_wavlm.png,assets/baselines/cloud_ttsds2_wavlm.pdf,259 AI-partner conversations and 70 human-partner controls. Partner measurements only. Historical reference: 100 turns from one HSC conversation; closest-noise calibration.
6,Conversation clouds for all features,TTSDS2: Wav2Vec2 Activations,assets/baselines/cloud_ttsds2_wav2vec2_activations.png,assets/baselines/cloud_ttsds2_wav2vec2_activations.pdf,259 AI-partner conversations and 70 human-partner controls. Partner measurements only. Historical reference: 100 turns from one HSC conversation; closest-noise calibration.
6,Conversation clouds for all features,TTSDS2: Whisper Activations,assets/baselines/cloud_ttsds2_whisper_activations.png,assets/baselines/cloud_ttsds2_whisper_activations.pdf,259 AI-partner conversations and 70 human-partner controls. Partner measurements only. Historical reference: 100 turns from one HSC conversation; closest-noise calibration.
6,Conversation clouds for all features,TTSDS2: Allosaurus SR,assets/baselines/cloud_ttsds2_allosaurus_sr.png,assets/baselines/cloud_ttsds2_allosaurus_sr.pdf,259 AI-partner conversations and 70 human-partner controls. Partner measurements only. Historical reference: 100 turns from one HSC conversation; closest-noise calibration.
6,Conversation clouds for all features,TTSDS2: Hubert Token SR,assets/baselines/cloud_ttsds2_hubert_token_sr.png,assets/baselines/cloud_ttsds2_hubert_token_sr.pdf,259 AI-partner conversations and 70 human-partner controls. Partner measurements only. Historical reference: 100 turns from one HSC conversation; closest-noise calibration.
6,Conversation clouds for all features,TTSDS2: MPM,assets/baselines/cloud_ttsds2_mpm.png,assets/baselines/cloud_ttsds2_mpm.pdf,259 AI-partner conversations and 70 human-partner controls. Partner measurements only. Historical reference: 100 turns from one HSC conversation; closest-noise calibration.
6,Conversation clouds for all features,TTSDS2: Pitch,assets/baselines/cloud_ttsds2_pitch.png,assets/baselines/cloud_ttsds2_pitch.pdf,259 AI-partner conversations and 70 human-partner controls. Partner measurements only. Historical reference: 100 turns from one HSC conversation; closest-noise calibration.
6,Conversation clouds for all features,TTSDS2: DVector,assets/baselines/cloud_ttsds2_dvector.png,assets/baselines/cloud_ttsds2_dvector.pdf,259 AI-partner conversations and 70 human-partner controls. Partner measurements only. Historical reference: 100 turns from one HSC conversation; closest-noise calibration.
6,Conversation clouds for all features,TTSDS2: WeSpeaker,assets/baselines/cloud_ttsds2_wespeaker.png,assets/baselines/cloud_ttsds2_wespeaker.pdf,259 AI-partner conversations and 70 human-partner controls. Partner measurements only. Historical reference: 100 turns from one HSC conversation; closest-noise calibration.
6,Conversation clouds for all features,TTSDS2: Overall TTSDS2,assets/baselines/cloud_ttsds2_overall_ttsds2.png,assets/baselines/cloud_ttsds2_overall_ttsds2.pdf,259 AI-partner conversations and 70 human-partner controls. Partner measurements only. Historical reference: 100 turns from one HSC conversation; closest-noise calibration.
7,Distances to the two anchors,Phone rate,assets/supporting/anchor_distances_allosaurus_rate.png,assets/supporting/anchor_distances_allosaurus_rate.pdf,Each small dot is one HSC split; diamonds are mean distances. The diagonal marks equal distances to the two anchors.
7,Distances to the two anchors,Sylber rate,assets/supporting/anchor_distances_sylber_rate.png,assets/supporting/anchor_distances_sylber_rate.pdf,Each small dot is one HSC split; diamonds are mean distances. The diagonal marks equal distances to the two anchors.
7,Distances to the two anchors,Sylber unit duration,assets/supporting/anchor_distances_sylber_duration.png,assets/supporting/anchor_distances_sylber_duration.pdf,Each small dot is one HSC split; diamonds are mean distances. The diagonal marks equal distances to the two anchors.
8,Hierarchical and equal observation weights,HSC-MSC,assets/supporting/weighting_hsc_msc.png,assets/supporting/weighting_hsc_msc.pdf,"Each point summarizes 50 overlapping HSC splits. Error bars show sample SD, not confidence intervals."
8,Hierarchical and equal observation weights,HSC-Behaviour-SD,assets/supporting/weighting_hsc_behavior_sd.png,assets/supporting/weighting_hsc_behavior_sd.pdf,"Each point summarizes 50 overlapping HSC splits. Error bars show sample SD, not confidence intervals."
9,Feature and family removal ablation,HSC–MSC,assets/behavior/feature-removal-hsc_msc.png,assets/behavior/feature-removal-hsc_msc.pdf,11 removals; 294 matched conversation pairs per removal.
9,Feature and family removal ablation,HSC–Behaviour-SD,assets/behavior/feature-removal-hsc_behavior_sd.png,assets/behavior/feature-removal-hsc_behavior_sd.pdf,11 removals; 294 matched conversation pairs per removal.
10,TTSDS2 correlations with listener preferences,All eleven features and overall,assets/baselines/ttsds2_listener_correlations.png,assets/baselines/ttsds2_listener_correlations.pdf,Positive correlation means score differences tend to favour the AI conversation preferred by listeners.
11,Pooled TTSDS2 with broader HSC references,Hubert,assets/baselines/pooled_ttsds2_hubert.png,assets/baselines/pooled_ttsds2_hubert.pdf,Each violin and its 50 dots show reference-selection sensitivity for one fixed pooled AI-system target. Diamonds show means.
11,Pooled TTSDS2 with broader HSC references,Wav2Vec2,assets/baselines/pooled_ttsds2_wav2vec2.png,assets/baselines/pooled_ttsds2_wav2vec2.pdf,Each violin and its 50 dots show reference-selection sensitivity for one fixed pooled AI-system target. Diamonds show means.
11,Pooled TTSDS2 with broader HSC references,WavLM,assets/baselines/pooled_ttsds2_wavlm.png,assets/baselines/pooled_ttsds2_wavlm.pdf,Each violin and its 50 dots show reference-selection sensitivity for one fixed pooled AI-system target. Diamonds show means.
11,Pooled TTSDS2 with broader HSC references,Wav2Vec2 Activations,assets/baselines/pooled_ttsds2_wav2vec2_activations.png,assets/baselines/pooled_ttsds2_wav2vec2_activations.pdf,Each violin and its 50 dots show reference-selection sensitivity for one fixed pooled AI-system target. Diamonds show means.
11,Pooled TTSDS2 with broader HSC references,Whisper Activations,assets/baselines/pooled_ttsds2_whisper_activations.png,assets/baselines/pooled_ttsds2_whisper_activations.pdf,Each violin and its 50 dots show reference-selection sensitivity for one fixed pooled AI-system target. Diamonds show means.
11,Pooled TTSDS2 with broader HSC references,Allosaurus SR,assets/baselines/pooled_ttsds2_allosaurus_sr.png,assets/baselines/pooled_ttsds2_allosaurus_sr.pdf,Each violin and its 50 dots show reference-selection sensitivity for one fixed pooled AI-system target. Diamonds show means.
11,Pooled TTSDS2 with broader HSC references,Hubert Token SR,assets/baselines/pooled_ttsds2_hubert_token_sr.png,assets/baselines/pooled_ttsds2_hubert_token_sr.pdf,Each violin and its 50 dots show reference-selection sensitivity for one fixed pooled AI-system target. Diamonds show means.
11,Pooled TTSDS2 with broader HSC references,MPM,assets/baselines/pooled_ttsds2_mpm.png,assets/baselines/pooled_ttsds2_mpm.pdf,Each violin and its 50 dots show reference-selection sensitivity for one fixed pooled AI-system target. Diamonds show means.
11,Pooled TTSDS2 with broader HSC references,Pitch,assets/baselines/pooled_ttsds2_pitch.png,assets/baselines/pooled_ttsds2_pitch.pdf,Each violin and its 50 dots show reference-selection sensitivity for one fixed pooled AI-system target. Diamonds show means.
11,Pooled TTSDS2 with broader HSC references,DVector,assets/baselines/pooled_ttsds2_dvector.png,assets/baselines/pooled_ttsds2_dvector.pdf,Each violin and its 50 dots show reference-selection sensitivity for one fixed pooled AI-system target. Diamonds show means.
11,Pooled TTSDS2 with broader HSC references,WeSpeaker,assets/baselines/pooled_ttsds2_wespeaker.png,assets/baselines/pooled_ttsds2_wespeaker.pdf,Each violin and its 50 dots show reference-selection sensitivity for one fixed pooled AI-system target. Diamonds show means.
11,Pooled TTSDS2 with broader HSC references,Overall TTSDS2,assets/baselines/pooled_ttsds2_overall_ttsds2.png,assets/baselines/pooled_ttsds2_overall_ttsds2.pdf,Each violin and its 50 dots show reference-selection sensitivity for one fixed pooled AI-system target. Diamonds show means.
12,A separate linguistic feature family,"NLI, GPT-2 and their combined family",assets/baselines/linguistic_listener_correlations.png,assets/baselines/linguistic_listener_correlations.pdf,Same listener pairs under both anchors.
13,NLI scores for actual and shuffled replies,Actual and shuffled reply probabilities,assets/baselines/nli_actual_shuffled.png,assets/baselines/nli_actual_shuffled.pdf,"Primary 128-token NLI scores. Probabilities, not hard-label fractions."
14,Callers and recording length,"Score conversations, then average",assets/supporting/ranking_stability_conversation_first.png,assets/supporting/ranking_stability_conversation_first.pdf,"Stability is measured against the corresponding all-caller, full-recording CDS ordering. A subset missing any system counts as a failure; All 56 is one complete set."
14,Callers and recording length,"Pool measurements, then score",assets/supporting/ranking_stability_pooled_observations.png,assets/supporting/ranking_stability_pooled_observations.pdf,"Stability is measured against the corresponding all-caller, full-recording CDS ordering. A subset missing any system counts as a failure; All 56 is one complete set."
14,Callers and recording length,Phone rate: caller correlations,assets/supporting/caller_correlations_allosaurus_rate.png,assets/supporting/caller_correlations_allosaurus_rate.pdf,Lines show the median of defined subset correlations; bands show their middle 95% only below 56 callers. Diamonds show the single complete set.
14,Callers and recording length,Sylber rate: caller correlations,assets/supporting/caller_correlations_sylber_rate.png,assets/supporting/caller_correlations_sylber_rate.pdf,Lines show the median of defined subset correlations; bands show their middle 95% only below 56 callers. Diamonds show the single complete set.
14,Callers and recording length,Sylber unit duration: caller correlations,assets/supporting/caller_correlations_sylber_duration.png,assets/supporting/caller_correlations_sylber_duration.pdf,Lines show the median of defined subset correlations; bands show their middle 95% only below 56 callers. Diamonds show the single complete set.
14,Callers and recording length,nPVI: caller correlations,assets/supporting/caller_correlations_sylber_npvi.png,assets/supporting/caller_correlations_sylber_npvi.pdf,Lines show the median of defined subset correlations; bands show their middle 95% only below 56 callers. Diamonds show the single complete set.
14,Callers and recording length,Turn-final lengthening: caller correlations,assets/supporting/caller_correlations_sylber_final_lengthening.png,assets/supporting/caller_correlations_sylber_final_lengthening.pdf,Lines show the median of defined subset correlations; bands show their middle 95% only below 56 callers. Diamonds show the single complete set.
14,Callers and recording length,Turn duration: caller correlations,assets/supporting/caller_correlations_turn_duration.png,assets/supporting/caller_correlations_turn_duration.pdf,Lines show the median of defined subset correlations; bands show their middle 95% only below 56 callers. Diamonds show the single complete set.
14,Callers and recording length,Signed response gap: caller correlations,assets/supporting/caller_correlations_signed_response_gap.png,assets/supporting/caller_correlations_signed_response_gap.pdf,Lines show the median of defined subset correlations; bands show their middle 95% only below 56 callers. Diamonds show the single complete set.
14,Callers and recording length,Floor-time share: caller correlations,assets/supporting/caller_correlations_floor_time_share.png,assets/supporting/caller_correlations_floor_time_share.pdf,Lines show the median of defined subset correlations; bands show their middle 95% only below 56 callers. Diamonds show the single complete set.
14,Callers and recording length,Pace family: caller correlations,assets/supporting/caller_correlations_pace.png,assets/supporting/caller_correlations_pace.pdf,Lines show the median of defined subset correlations; bands show their middle 95% only below 56 callers. Diamonds show the single complete set.
14,Callers and recording length,Rhythm family: caller correlations,assets/supporting/caller_correlations_rhythm.png,assets/supporting/caller_correlations_rhythm.pdf,Lines show the median of defined subset correlations; bands show their middle 95% only below 56 callers. Diamonds show the single complete set.
14,Callers and recording length,Interaction family: caller correlations,assets/supporting/caller_correlations_interaction.png,assets/supporting/caller_correlations_interaction.pdf,Lines show the median of defined subset correlations; bands show their middle 95% only below 56 callers. Diamonds show the single complete set.
14,Callers and recording length,Overall CDS: caller correlations,assets/supporting/caller_correlations_overall.png,assets/supporting/caller_correlations_overall.pdf,Lines show the median of defined subset correlations; bands show their middle 95% only below 56 callers. Diamonds show the single complete set.
14,Callers and recording length,"Short versus complete, same pairs",assets/supporting/short_vs_complete_same_pairs.png,assets/supporting/short_vs_complete_same_pairs.pdf,Each row compares the same eligible conversation pairs. Listeners rated complete conversations; these are descriptive point estimates for the predictive association of earlier speech.
14,Callers and recording length,Typical correlation by callers and duration,assets/supporting/correlation_grid_overall.png,assets/supporting/correlation_grid_overall.pdf,Asterisks mark combinations with some undefined correlations. All 56 is a single complete set; its subset variation is unavailable.
14,Callers and recording length,Variation across caller subsets,assets/supporting/caller_subset_variation_overall.png,assets/supporting/caller_subset_variation_overall.pdf,Asterisks mark combinations with some undefined correlations. All 56 is a single complete set; its subset variation is unavailable.
15,Exploratory system-pair diagnostics,TTSDS2 within each fixed system pair,assets/baselines/ttsds2_within_system_pair_correlations.png,assets/baselines/ttsds2_within_system_pair_correlations.pdf,Single canonical orientation per unique conversation pair. Cell values are Spearman correlations.
15,Exploratory system-pair diagnostics,TTSDS2 before and after mean-rank removal,assets/baselines/ttsds2_rank_centering_diagnostic.png,assets/baselines/ttsds2_rank_centering_diagnostic.pdf,All eleven features and overall TTSDS2. No uncertainty intervals.
15,Exploratory system-pair diagnostics,Three CDS comparisons before and after mean-rank removal,assets/baselines/cds_rank_centering_diagnostic.png,assets/baselines/cds_rank_centering_diagnostic.pdf,"Phone rate, Sylber duration and overall CDS on HSC–MSC. Same 294 pairs as TTSDS2; no uncertainty intervals."
